gt,abseiling,air drumming,answering questions,applauding,applying cream,archery,arm wrestling,auctioning,baby waking up,climbing tree,playing organ,riding or walking with horse,robot dancing,testifying
abseiling,2,0,0,0,0,0,0,0,0,1,0,0,0,0
air drumming,0,1,0,0,0,0,0,0,0,0,1,0,1,0
answering questions,0,0,2,0,0,0,0,0,0,0,0,0,0,1
applauding,0,0,0,1,0,0,0,1,0,0,0,0,0,1
applying cream,0,0,0,0,2,0,0,0,1,0,0,0,0,0
archery,0,0,0,0,0,2,0,0,0,0,0,1,0,0
arm wrestling,0,0,0,0,0,0,2,0,0,0,0,0,0,0
auctioning,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baby waking up,0,0,0,0,0,0,0,0,0,0,0,0,0,0
climbing tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0
playing organ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riding or walking with horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robot dancing,0,0,0,0,0,0,0,0,0,0,0,0,0,0
testifying,0,0,0,0,0,0,0,0,0,0,0,0,0,0
